@relation TrainInstances
@attribute keyword0 numeric
@attribute keyword1 numeric
@attribute keyword2 numeric
@attribute keyword3 numeric
@attribute keyword4 numeric
@attribute keyword5 numeric
@attribute keyword6 numeric
@attribute keyword7 numeric
@attribute keyword8 numeric
@attribute keyword9 numeric
@attribute keyword10 numeric
@attribute keyword11 numeric
@attribute keyword12 numeric
@attribute keyword13 numeric
@attribute keyword14 numeric
@attribute keyword15 numeric
@attribute keyword16 numeric
@attribute keyword17 numeric
@attribute keyword18 numeric
@attribute keyword19 numeric
@attribute keyword20 numeric
@attribute keyword21 numeric
@attribute keyword22 numeric
@attribute keyword23 numeric
@attribute keyword24 numeric
@attribute keyword25 numeric
@attribute keyword26 numeric
@attribute keyword27 numeric
@attribute keyword28 numeric
@attribute keyword29 numeric
@attribute keyword30 numeric
@attribute keyword31 numeric
@attribute keyword32 numeric
@attribute keyword33 numeric
@attribute keyword34 numeric
@attribute keyword35 numeric
@attribute keyword36 numeric
@attribute keyword37 numeric
@attribute keyword38 numeric
@attribute keyword39 numeric
@attribute keyword40 numeric
@attribute keyword41 numeric
@attribute keyword42 numeric
@attribute keyword43 numeric
@attribute keyword44 numeric
@attribute keyword45 numeric
@attribute keyword46 numeric
@attribute keyword47 numeric
@attribute keyword48 numeric
@attribute keyword49 numeric
@attribute keyword50 numeric
@attribute keyword51 numeric
@attribute keyword52 numeric
@attribute keyword53 numeric
@attribute author {0, 1, 2}
@data
2,1,1,5,2,1,1,4,3,5,1,0,5,90,17,12,0,0,0,0,0,5,41,2,1,9,18,18,0,10,5,1,1,0,8,7,5,4,12,1,4,26,26,3,8,18,5,36,34,32,32,19,22,23,0
19,0,0,5,0,3,0,3,20,0,1,0,3,85,11,24,1,0,0,0,0,2,54,1,0,4,17,10,0,6,1,1,0,1,3,8,6,15,17,3,0,23,24,8,13,17,5,21,30,17,22,12,14,20,0
11,1,2,2,4,2,0,2,14,1,1,1,4,81,12,14,1,0,0,0,0,3,71,1,2,2,24,15,0,4,2,1,0,1,1,6,1,17,12,1,14,28,23,15,13,25,14,16,23,17,42,22,20,16,0
7,1,3,2,1,1,1,4,16,2,0,1,1,77,11,17,1,0,0,0,0,1,71,1,1,3,19,17,3,9,2,1,0,1,4,2,4,20,13,1,6,22,30,6,8,17,16,22,32,31,23,15,19,22,0
16,5,2,9,3,2,0,9,9,0,3,2,23,149,13,27,2,0,0,0,0,2,124,2,3,7,41,22,0,7,5,3,1,5,5,9,6,19,25,0,6,47,42,15,7,20,14,32,67,47,43,26,35,45,0
23,10,29,14,6,7,0,10,13,1,1,0,1,86,15,23,2,1,0,0,0,2,60,0,5,2,41,13,1,18,6,3,1,1,1,12,6,17,21,2,0,38,34,27,4,27,10,23,11,18,28,11,54,37,0
46,13,2,17,5,6,4,16,13,2,2,0,3,98,14,12,7,0,0,0,0,5,57,3,2,2,23,20,0,5,4,3,0,2,8,8,3,14,13,1,5,49,21,12,3,17,13,26,28,30,22,14,22,28,0
11,4,7,3,2,1,0,1,16,4,2,0,23,208,26,44,6,0,0,0,0,7,174,2,3,7,59,19,2,13,10,7,1,5,4,26,6,27,36,2,15,62,62,16,11,33,12,88,123,67,51,58,55,57,0
4,0,1,1,1,0,0,1,8,0,0,0,21,126,25,28,0,0,0,0,0,8,71,4,2,3,32,22,2,5,2,7,0,2,4,8,2,24,24,1,12,31,22,14,15,23,10,99,75,67,30,32,29,36,0
10,10,1,0,5,2,0,1,15,6,2,1,12,116,21,27,1,0,0,0,0,6,59,2,1,13,25,21,3,4,3,1,0,0,5,14,4,48,24,0,12,28,32,14,13,21,5,58,80,63,33,16,44,26,0
12,1,0,7,5,3,1,5,18,2,3,0,11,128,24,27,3,0,0,0,0,3,88,4,1,3,57,24,2,11,4,7,0,1,5,11,2,37,16,1,4,44,44,19,11,36,9,57,71,51,19,23,37,54,0
9,1,3,2,0,1,0,2,9,1,0,0,13,101,11,14,0,0,0,0,0,15,63,0,0,2,24,30,1,7,3,1,0,0,3,12,4,25,8,0,8,26,20,10,7,26,18,46,35,24,21,33,15,13,0
2,1,0,0,5,0,0,0,11,1,0,2,24,190,35,30,0,0,0,0,0,16,160,3,3,11,44,32,0,9,0,3,2,0,3,17,3,60,29,2,24,25,47,13,21,41,28,106,116,75,55,52,42,51,0
4,0,5,3,3,1,0,1,9,1,2,1,16,182,30,40,0,0,0,0,0,18,137,3,10,4,24,32,0,4,4,3,1,0,3,15,7,54,21,0,14,45,55,32,14,28,18,63,56,69,46,33,46,46,0
3,1,0,1,2,0,0,0,5,3,1,0,22,175,40,31,0,0,0,0,0,14,129,3,5,6,43,40,2,5,1,1,1,2,1,14,8,31,25,2,11,32,48,18,18,20,14,69,88,69,49,42,49,49,0
2,0,2,0,3,0,0,1,9,0,0,1,24,172,28,33,0,0,0,0,0,12,116,3,2,10,39,21,0,7,2,3,1,1,1,18,6,16,30,3,15,33,31,9,10,28,10,63,98,56,37,42,30,44,0
4,0,3,1,2,0,2,0,12,0,1,0,39,224,40,39,0,3,0,0,0,11,128,1,5,10,52,41,0,7,1,1,5,1,5,19,7,40,29,2,17,41,58,28,22,27,12,89,142,62,47,31,82,79,0
7,0,3,1,6,0,0,3,18,0,1,0,9,186,36,55,1,0,0,0,0,8,154,0,6,5,42,33,0,3,1,5,2,1,2,11,6,29,22,3,13,59,72,39,24,47,16,75,94,66,50,65,42,50,0
6,0,0,1,2,1,0,2,13,3,1,0,10,160,19,17,2,0,0,0,0,10,88,2,3,3,30,21,1,7,3,3,1,1,2,11,3,29,17,3,24,42,41,13,18,24,12,41,66,33,27,28,36,25,0
2,1,4,0,1,0,0,0,10,0,0,0,27,185,32,34,0,1,0,0,0,16,134,3,4,3,57,23,4,7,3,2,5,2,1,21,6,15,44,0,12,28,70,18,15,39,15,79,81,55,47,35,60,54,0
7,2,2,2,4,1,0,2,6,0,0,0,22,149,15,30,0,0,0,0,0,7,125,0,1,0,42,23,0,5,2,4,1,0,2,10,4,18,26,1,10,33,44,10,10,21,5,97,104,85,29,20,36,45,0
6,0,5,1,2,2,0,4,3,1,0,0,4,88,15,18,0,0,0,0,0,8,68,1,1,5,19,16,1,5,2,1,0,0,0,4,4,23,7,0,13,23,37,9,10,9,9,39,38,43,31,17,21,29,0
9,0,0,3,5,0,0,0,14,1,0,0,15,164,21,28,0,0,0,0,0,11,134,1,5,4,45,16,2,5,6,6,0,0,5,15,12,30,28,2,15,47,46,16,17,25,16,77,102,68,45,32,37,71,0
4,2,0,0,8,1,0,0,10,1,1,0,15,203,29,34,0,0,0,0,0,10,133,6,8,2,33,22,0,7,2,4,0,1,2,21,14,39,19,0,49,44,49,24,22,29,14,62,72,58,59,35,57,49,0
3,1,2,3,2,2,0,2,14,1,0,0,16,155,21,25,0,0,0,0,0,12,127,3,6,7,42,18,0,6,1,2,0,2,2,10,3,21,26,0,9,43,51,19,13,38,14,38,74,85,41,33,33,51,0
10,0,9,3,5,4,1,3,24,0,6,0,16,184,19,30,0,0,0,0,0,11,132,4,5,11,62,18,3,10,3,4,3,3,3,22,11,29,43,2,7,71,72,32,31,44,19,64,122,54,34,35,91,55,0
1,0,0,2,0,1,0,1,10,2,5,0,7,116,19,15,0,0,0,0,0,9,69,10,2,3,18,11,0,2,3,0,1,0,3,12,4,12,12,1,7,37,51,11,11,22,9,31,45,22,23,11,32,26,0
0,0,0,1,1,0,0,0,5,1,1,0,28,170,37,19,0,0,0,0,0,6,144,4,2,4,38,9,2,10,2,5,0,2,6,8,2,12,22,0,17,42,48,23,7,35,14,49,64,46,33,39,55,50,0
5,2,0,1,6,1,0,1,11,1,1,0,24,220,54,34,0,0,0,0,0,18,161,5,5,5,43,24,2,4,2,11,5,5,9,18,3,32,31,1,16,41,77,42,19,52,15,31,53,42,44,22,101,65,0
0,2,0,2,3,0,0,4,19,3,0,0,7,188,20,24,1,0,0,0,0,12,121,6,4,3,50,16,0,9,1,1,0,2,3,7,3,33,24,0,7,35,47,19,15,45,22,43,51,60,29,31,27,35,0
1,2,2,0,5,0,0,0,5,1,0,0,15,181,38,28,0,0,0,0,0,9,146,1,1,4,64,17,0,10,1,2,1,1,6,23,2,24,33,0,22,53,75,27,38,51,8,87,71,66,31,27,38,50,0
7,0,0,0,1,0,0,0,16,1,1,0,14,178,41,31,0,0,0,0,0,10,120,1,2,6,33,15,2,13,0,3,4,0,5,10,11,16,28,1,12,46,52,29,8,50,13,51,70,48,48,40,41,50,0
6,0,0,2,6,0,0,0,12,0,3,1,10,195,32,22,0,0,0,0,0,11,124,8,2,9,29,27,4,6,1,3,1,2,4,12,0,33,20,0,14,58,69,16,16,22,24,63,110,73,48,24,36,47,0
1,2,0,1,6,1,0,1,9,1,1,1,13,184,29,42,1,0,0,0,0,10,162,1,7,1,49,19,0,7,5,12,0,0,2,9,4,10,25,1,11,62,59,18,19,30,15,112,121,61,41,34,26,54,0
0,0,0,0,4,0,0,0,15,3,0,0,17,216,43,47,0,0,2,1,0,11,150,2,3,10,43,22,0,7,1,2,1,3,8,16,6,30,34,0,20,47,56,17,26,35,8,103,146,110,49,64,38,71,0
2,1,0,0,3,0,0,0,3,1,1,0,24,196,30,26,0,0,0,0,0,11,113,4,7,6,32,16,2,9,1,2,1,1,3,13,7,31,25,0,17,55,54,17,21,31,11,99,120,70,33,50,57,48,0
5,0,2,3,5,1,0,2,15,0,0,0,10,179,26,30,0,0,0,0,0,15,117,1,1,7,29,15,2,11,3,2,0,2,2,12,5,15,24,3,9,33,47,16,16,43,8,57,82,73,28,40,24,47,0
13,2,0,2,3,0,0,3,16,2,1,1,16,173,30,17,0,0,0,0,0,4,110,1,2,9,48,18,2,7,7,5,1,2,2,15,4,22,15,1,9,48,44,20,13,45,12,42,52,55,43,32,30,40,0
1,1,7,2,1,0,0,2,11,3,2,0,12,173,24,20,0,0,1,0,0,5,83,5,1,2,39,12,0,5,1,1,3,3,5,17,2,14,23,0,18,48,57,28,14,31,7,31,73,40,42,21,74,41,0
2,5,2,0,6,0,0,6,6,1,0,0,11,168,23,17,0,0,0,0,0,10,148,0,3,3,44,20,0,13,3,7,0,3,6,16,3,20,25,1,8,38,42,15,14,41,16,38,57,50,32,40,39,43,0
5,0,2,2,1,1,0,0,10,4,0,0,22,237,25,29,0,0,0,0,0,12,140,4,3,6,47,34,4,11,3,3,2,5,5,18,2,43,39,1,9,65,52,20,12,53,14,69,65,78,51,41,53,64,0
24,3,7,11,5,3,0,22,10,2,2,0,6,151,43,21,1,0,0,0,0,3,103,4,7,0,44,23,0,7,1,5,1,1,2,6,4,32,12,0,1,44,30,14,9,34,9,35,29,28,39,26,19,34,0
7,1,7,2,5,0,0,5,15,2,0,0,9,202,32,27,1,0,0,0,0,6,152,6,4,3,56,21,1,9,5,7,1,2,5,18,5,42,26,1,20,44,76,43,15,71,24,34,53,71,34,32,31,75,0
8,0,0,5,3,4,1,10,12,4,5,0,7,152,23,30,0,0,0,0,0,8,159,4,4,2,55,18,1,6,7,4,1,4,8,11,2,36,18,1,13,51,57,31,9,39,14,55,88,75,38,33,23,65,0
16,1,2,5,5,1,0,5,16,2,2,2,8,162,12,31,0,0,0,0,0,8,187,0,3,5,74,14,1,7,6,11,5,5,5,11,3,24,24,2,12,49,102,36,7,57,13,40,63,66,46,38,30,57,0
12,2,1,4,7,1,0,6,26,2,5,1,23,284,22,41,0,1,0,0,0,14,181,2,5,4,72,34,2,9,7,8,4,5,6,20,6,47,31,3,15,66,87,32,21,61,14,147,133,142,65,74,52,94,0
6,2,10,6,6,0,1,12,24,0,4,0,3,167,19,38,1,0,0,0,0,9,111,2,3,1,30,19,1,7,2,5,1,4,5,9,5,42,26,2,4,51,64,16,12,34,17,60,51,89,27,39,21,46,0
6,0,0,3,2,1,0,4,8,1,0,0,13,114,14,25,0,0,0,0,0,10,85,2,2,4,21,12,3,6,2,2,0,2,1,3,3,31,19,0,34,54,36,17,15,25,16,62,81,59,30,33,21,48,0
5,0,1,4,3,0,0,4,17,0,2,0,20,175,28,34,1,1,0,0,0,5,151,3,9,7,35,14,1,7,0,7,0,2,6,14,9,62,11,0,36,53,57,19,17,45,5,91,73,91,37,64,23,87,0
3,0,2,0,2,0,0,1,7,0,0,0,13,189,14,27,1,0,0,0,0,7,162,3,2,5,38,11,0,2,2,0,1,3,9,12,3,23,23,5,31,48,47,15,21,34,6,53,82,72,36,34,16,62,0
12,0,0,0,8,2,2,9,21,3,3,0,18,349,50,54,1,0,0,0,0,7,207,14,4,5,60,36,2,13,0,4,3,4,8,16,7,57,33,1,22,83,83,38,28,57,9,82,106,84,55,58,37,117,0
19,4,6,2,9,4,2,10,26,2,3,0,14,259,49,35,1,0,0,0,0,4,174,3,7,1,66,29,5,14,10,0,6,2,5,29,9,57,17,1,22,74,53,28,10,53,14,53,63,84,48,35,29,93,0
9,3,3,15,10,2,2,2,22,10,0,2,27,197,20,37,1,0,0,0,0,7,112,5,9,8,33,39,0,7,2,2,0,0,1,16,4,25,20,5,12,62,42,13,23,23,9,60,84,54,39,41,41,54,0
8,0,8,2,4,0,0,2,9,1,3,0,9,131,18,27,1,0,0,0,0,7,123,1,1,3,48,22,4,3,0,4,1,1,5,13,1,31,14,4,12,26,52,16,13,31,14,47,61,108,40,27,13,54,0
13,0,0,1,5,1,0,1,8,1,2,0,1,116,11,20,1,0,0,0,0,6,51,1,0,4,24,12,0,5,0,0,0,1,2,7,2,23,11,1,3,38,25,5,4,15,7,26,38,70,27,20,17,45,0
2,0,1,0,0,0,0,0,19,1,0,0,49,230,45,35,0,1,3,2,5,20,167,2,4,8,54,43,1,5,0,4,4,0,5,17,4,24,27,3,58,57,66,26,18,43,18,99,51,68,35,45,75,74,0
16,1,3,8,4,1,0,8,5,1,4,0,3,160,27,36,1,0,0,0,0,10,122,2,0,6,40,11,1,6,1,3,0,3,3,9,5,21,15,3,7,63,46,10,17,36,5,51,111,65,22,37,8,72,0
13,5,6,9,8,3,1,7,9,1,1,0,3,169,20,37,0,0,0,0,0,3,94,2,1,7,30,22,1,11,2,7,1,1,2,20,1,27,11,2,7,60,36,14,16,17,8,49,54,78,34,41,13,73,0
12,1,1,3,3,1,0,7,16,1,1,0,9,143,17,20,2,0,0,0,0,18,89,3,3,5,32,22,0,6,2,4,0,3,1,24,2,25,15,2,2,41,52,22,10,45,8,20,31,29,29,35,15,41,0
10,0,1,0,2,0,0,5,35,1,0,0,13,189,34,35,1,0,0,0,0,13,175,6,3,2,55,36,3,6,3,2,0,2,5,15,6,36,17,0,8,52,65,28,11,52,13,62,66,54,38,36,35,57,0
6,0,0,0,5,0,0,0,31,0,2,0,11,182,13,33,0,0,0,0,0,11,134,1,3,5,41,14,0,14,1,6,1,1,2,13,5,22,31,0,6,45,47,14,16,44,14,57,112,75,47,34,38,68,0
13,2,13,2,6,2,2,6,22,0,0,2,6,120,17,40,2,0,0,0,0,7,126,1,3,4,64,21,1,6,3,6,0,4,4,6,4,23,25,3,9,35,45,17,22,30,9,50,62,75,38,38,34,43,0
12,3,5,1,3,1,1,4,38,1,6,2,12,191,32,54,0,0,0,0,0,8,254,2,3,8,75,30,5,12,5,7,3,1,9,13,12,30,37,7,9,68,91,31,29,59,10,79,157,84,62,52,57,70,0
21,1,1,4,7,2,0,12,37,6,5,1,19,196,19,25,4,0,0,0,0,12,146,5,4,7,51,43,0,9,7,4,2,4,7,30,3,51,39,0,3,54,61,35,18,49,6,54,65,44,58,39,56,57,0
12,2,2,3,6,1,2,3,39,2,2,0,8,162,14,21,3,0,0,0,0,2,77,1,5,6,26,16,1,9,11,5,1,5,1,24,4,23,31,0,0,40,58,17,12,54,11,52,62,23,27,43,47,48,0
29,2,2,6,10,1,3,15,48,3,9,0,12,251,21,39,5,0,0,0,0,13,197,1,5,3,64,32,4,19,4,11,0,2,4,32,7,20,52,7,9,80,90,24,17,60,13,77,76,97,39,75,46,57,0
53,17,7,4,1,10,1,14,17,2,2,4,6,183,12,32,5,0,1,0,0,3,91,1,1,6,36,13,1,9,5,4,0,1,3,16,11,32,27,4,4,47,43,22,12,46,6,20,59,65,31,39,42,40,0
20,4,1,8,1,2,1,3,6,0,1,0,7,74,4,20,2,0,0,0,0,3,84,1,0,2,38,10,1,3,1,6,1,0,1,8,3,12,13,3,3,38,23,9,6,31,4,27,26,30,13,13,20,28,0
7,3,2,8,5,1,0,5,3,2,1,0,11,130,24,34,0,0,0,0,0,8,144,2,0,4,41,21,0,6,3,3,1,2,8,12,8,29,28,2,3,35,38,11,13,38,8,52,65,58,35,25,30,55,0
0,0,0,0,0,0,0,0,7,0,0,0,22,170,36,30,0,0,0,0,1,20,136,3,3,7,36,28,2,9,2,2,4,1,1,24,6,18,13,5,21,34,51,19,21,22,7,62,72,50,28,26,49,37,1
2,0,2,0,3,0,0,0,11,0,0,1,26,190,41,38,1,1,0,0,0,18,134,3,2,4,57,30,3,8,3,5,4,2,6,24,2,18,19,2,29,53,44,22,17,39,8,82,75,27,28,38,92,55,1
3,3,1,1,1,1,1,1,22,4,0,0,26,186,47,28,0,0,3,2,1,9,140,4,8,6,58,16,0,7,3,1,2,4,6,15,3,19,14,1,26,38,49,15,13,21,14,51,59,42,35,41,74,57,1
6,1,0,1,3,3,0,1,16,0,0,0,33,177,29,32,0,1,0,1,1,10,122,0,2,7,60,21,2,6,3,4,4,2,4,9,0,36,14,6,25,32,60,19,18,31,17,52,53,50,34,46,66,54,1
2,0,0,0,1,0,1,1,13,2,0,1,37,214,55,30,0,0,1,1,0,11,106,3,2,8,52,31,3,11,1,2,1,0,6,20,3,25,22,1,29,38,47,24,12,27,16,47,43,55,40,49,61,56,1
1,3,3,0,1,1,3,0,6,0,1,1,12,107,21,31,0,0,1,0,1,6,122,2,2,3,38,34,2,3,0,3,3,0,1,16,3,38,28,0,9,25,50,11,13,28,10,41,47,46,23,18,49,54,1
11,1,0,1,3,0,1,0,11,1,1,0,20,147,21,25,0,1,2,0,1,14,105,0,2,3,41,34,0,4,3,2,3,0,1,8,8,20,13,2,21,34,42,17,14,22,17,28,41,22,32,21,64,28,1
0,0,0,1,1,0,0,0,13,0,0,1,26,153,29,29,0,0,1,3,0,20,109,0,1,2,34,29,2,4,7,2,2,0,4,8,1,19,19,1,27,40,43,11,15,30,17,65,63,58,39,25,66,41,1
3,1,0,0,0,0,1,0,10,0,0,0,10,142,34,36,0,1,1,0,1,9,83,2,3,6,28,17,0,6,1,0,3,0,6,9,1,14,14,1,23,32,49,10,10,21,11,33,45,22,26,20,64,27,1
0,0,1,0,1,0,0,0,11,0,0,0,17,162,29,35,0,2,0,2,0,10,120,4,5,3,43,21,2,4,3,2,2,2,0,17,3,7,24,1,18,40,48,14,10,29,12,32,58,40,17,16,54,49,1
5,0,0,1,0,0,0,0,8,3,0,0,4,125,15,32,0,0,0,2,0,15,57,1,1,7,29,13,1,2,3,1,2,1,5,11,3,20,10,1,4,30,44,6,14,16,3,40,47,55,27,25,46,17,1
1,0,1,0,0,0,2,0,9,0,0,0,14,159,24,32,0,1,2,2,0,14,144,2,3,1,68,20,0,7,3,6,3,1,1,20,4,22,23,2,20,33,58,17,25,25,13,41,85,80,35,24,69,51,1
1,0,0,0,0,2,2,0,9,1,1,1,10,142,31,41,0,0,0,0,0,10,137,1,3,2,52,18,0,4,7,0,0,0,2,13,0,29,11,3,29,16,43,15,12,10,5,33,33,41,26,44,49,41,1
6,0,1,1,0,0,1,0,12,0,0,0,24,213,27,36,0,1,3,1,2,13,155,0,3,5,47,23,0,4,3,1,6,1,2,23,4,56,28,3,38,21,58,39,23,40,11,39,56,56,41,57,63,56,1
5,0,0,1,2,0,2,0,7,2,0,0,13,118,19,37,0,1,1,0,1,8,113,0,0,2,38,22,0,2,5,2,2,0,1,8,3,44,10,2,11,28,52,11,9,25,7,28,51,59,25,36,29,45,1
1,1,0,0,0,1,3,0,14,3,0,0,26,162,24,37,0,2,1,0,0,7,121,2,3,7,39,21,1,5,2,1,2,1,1,13,6,33,12,2,26,42,54,10,18,27,17,48,53,57,26,24,38,51,1
9,0,0,0,2,0,4,0,18,3,1,1,35,243,43,53,0,0,6,0,0,14,176,0,2,4,65,32,2,4,5,2,3,0,3,16,3,41,23,4,23,66,64,25,20,41,19,46,60,93,43,41,59,62,1
10,1,3,1,0,1,2,2,8,0,1,0,13,139,20,22,0,0,1,0,0,2,87,0,0,1,29,12,0,3,6,3,1,0,2,4,7,27,5,3,6,36,44,14,11,8,8,44,47,34,13,16,24,33,1
7,0,0,1,1,0,4,0,14,0,0,2,10,111,27,33,0,0,4,0,2,4,106,0,2,2,38,26,0,5,1,4,1,2,3,16,3,23,13,0,29,17,47,15,16,16,6,36,37,19,14,19,32,47,1
5,0,2,1,1,0,3,0,5,1,2,0,12,139,31,26,0,0,2,0,0,10,139,2,0,2,43,24,5,4,2,5,1,1,1,11,1,16,16,1,9,30,54,11,13,19,7,35,51,71,24,26,20,28,1
2,1,0,0,1,1,0,0,13,0,1,0,51,221,34,58,0,3,5,1,2,15,150,3,6,3,40,21,0,4,2,1,2,1,2,10,2,24,24,1,20,44,56,14,22,45,21,73,85,64,30,41,57,50,1
3,0,2,0,0,1,0,2,4,1,0,0,5,100,19,13,0,0,1,0,0,3,88,2,0,0,37,14,0,6,2,1,8,0,1,11,0,30,9,3,4,11,28,15,8,11,8,19,21,18,17,15,23,36,1
2,1,2,0,1,3,0,0,4,2,0,1,15,155,33,28,0,2,0,1,4,15,137,0,0,2,41,29,0,4,3,0,4,2,4,14,1,59,16,1,7,22,48,15,19,23,22,28,77,54,41,29,41,75,1
0,0,0,0,0,0,5,0,7,4,0,0,8,142,21,36,0,0,0,1,0,7,140,1,1,2,46,16,0,2,7,1,1,0,2,13,2,33,14,2,5,24,38,21,11,20,8,44,72,75,20,22,39,72,1
4,1,0,2,2,0,3,1,1,2,0,0,2,63,22,22,0,0,0,0,0,8,82,1,1,2,20,27,0,5,0,0,2,0,0,20,2,25,19,5,3,16,28,8,5,9,3,9,26,12,14,19,13,44,1
6,2,0,1,0,1,3,1,4,1,1,0,13,86,17,27,0,0,5,1,2,3,128,0,1,1,29,31,0,5,4,2,1,0,1,9,2,10,17,0,10,23,29,14,8,20,6,26,67,22,18,14,19,29,1
5,0,0,5,0,2,2,0,4,1,0,0,6,104,26,25,0,1,1,0,0,2,135,0,0,5,42,17,0,7,4,5,1,0,3,7,3,27,12,2,19,32,32,18,8,28,5,33,49,48,14,24,17,25,1
1,2,0,0,0,0,0,0,4,5,3,0,14,155,25,38,0,0,6,0,0,6,104,4,1,2,43,30,0,4,1,1,7,1,2,13,1,41,15,2,24,36,48,28,18,36,5,38,71,63,42,44,80,55,1
6,0,0,0,0,0,6,0,11,5,0,2,10,245,40,38,0,1,3,2,3,13,151,2,2,2,50,38,3,4,2,4,4,0,6,25,2,53,38,2,51,49,76,18,24,30,10,78,106,64,35,42,50,60,1
2,1,0,0,0,1,2,0,1,0,2,0,21,151,24,39,0,0,8,3,0,4,189,1,0,2,58,28,0,4,4,3,5,0,3,12,1,14,11,1,7,26,53,23,25,29,8,22,55,46,27,20,48,45,1
4,0,0,0,1,0,2,0,8,3,0,0,22,207,19,30,1,1,3,2,1,11,164,1,1,2,47,43,0,2,7,2,1,1,1,5,4,51,13,2,13,32,51,26,10,13,8,48,46,57,28,35,36,35,1
1,1,0,0,0,0,2,0,1,3,0,1,17,194,28,28,0,0,4,0,1,10,128,0,0,2,48,35,0,8,9,0,1,0,1,8,1,26,13,3,10,30,40,29,17,18,12,39,51,40,28,39,47,42,1
3,1,0,1,0,0,1,0,9,0,0,0,26,168,30,34,0,3,2,1,0,5,137,0,1,2,44,34,0,2,2,2,2,0,1,9,2,36,24,1,6,37,62,12,14,27,8,62,93,55,34,33,46,69,1
2,0,0,0,0,0,2,0,14,0,0,0,11,129,15,25,0,2,5,1,0,4,115,0,1,1,33,21,1,3,3,4,0,1,1,5,1,21,14,2,6,24,41,12,12,15,6,38,64,35,12,27,31,34,1
